Mês,Campanha,Investimento - R$,Impressões,Cliques,Leads,Vendas,CPM,CPC,CPL,CPA
ago./2025,Energia-PR,"198,73",13586,117,22,0,"14,63","1,70","9,03",-
ago./2025,Energia-RS,"1.041,71",109097,967,374,68,"9,55","1,08","2,79","15,32"
ago./2025,Energia-PE,"584,53",47714,592,239,25,"12,25","0,99","2,45","23,38"
set./2025,Energia-PR,"199,00",13568,117,12,0,"14,67","1,70","16,58",-
set./2025,Energia-RS,"1.919,00",209842,1602,616,146,"9,14","1,20","3,12","13,14"
set./2025,Energia-PE,"1.278,00",115836,1207,445,67,"11,03","1,06","2,87","19,07"
out./2025,Energia-RS,"1.541,72",184420,1278,437,120,"8,36","1,21","3,53","12,85"
out./2025,Energia-PE,"1.961,61",187031,1504,377,50,"10,49","1,30","5,20","39,23"
out./2025,Veículo-RS,"1.149,49",26634,962,36,0,"43,16","1,19","31,93",-
out./2025,Empréstimo-RS,"1.636,82",54544,741,171,1,"30,01","2,21","9,57","1.636,82"
out./2025,Lia-RS,"66,78",7357,83,62,1,"9,08","0,80","1,08","66,78"
nov./2025,Energia-RS,"598,88",63238,398,171,100,"9,47","1,50","3,50","5,99"
nov./2025,Energia-PE,"718,22",64109,723,387,63,"11,20","0,99","1,86","11,40"
nov./2025,Crediário-RS,"352,77",12960,176,37,0,"27,22","2,00","9,53",-
nov./2025,Veículo-RS,"420,97",54654,960,4,0,"7,70","0,44","105,24",-
nov./2025,Lia-RS,"442,60",35008,310,235,17,"12,64","1,43","1,88","26,04"
nov./2025,Empréstimo-RS,"159,28",6933,58,39,0,"22,97","2,75","4,08",-
dez./2025,Empréstimo-RS,"1.200,34",75563,629,437,24,"15,89","1,91","2,75","50,01"
dez./2025,Energia-RS,"1.092,89",95386,624,420,130,"11,46","1,75","2,60","8,41"
dez./2025,Lia-RS,"472,44",35102,281,297,21,"13,46","1,68","1,59","22,50"
dez./2025,Post Carro,"103,42",3258,14,9,0,"31,74","7,39","11,49",-
ago./2025,Geral,"1.824,97",170.397,1.676,635,93,"10,71","1,09","2,87","19,62"
set./2025,Geral,"3.396,00",339.246,2.926,1.073,213,"10,01","1,16","3,16","15,94"
out./2025,Geral,"6.356,42",459.986,4.568,1.083,172,"13,82","1,39","5,87","36,96"
nov./2025,Geral,"2.692,72",236.902,2.625,873,180,"11,37","1,03","3,08","14,96"
dez./2025,Geral,"2.869,09",209.309,1.548,1.163,175,"13,71","1,85","2,47","16,39"